soc_fraction,origin,destination,demand,retained_paths,distinct_charging_stations,refinement_round,selection_reason
0.1,1252,1368,0.0290504325,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1370,0.006225685,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1373,0.04079445,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1375,0.355566385,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1431,2.07326633,5,0,0,path_count_below_K;high_demand
0.1,1252,1432,1.9483329525,5,0,0,path_count_below_K;high_demand
0.1,1252,144,0.049328845,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,145,0.0285699275,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,151,0.0616098875,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1521,0.0718549925,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1528,0.0264870575,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1542,0.0561542825,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,1252,1551,0.0090433125,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,156,0.0534717525,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1564,0.0947139975,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1569,0.0970231275,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1571,0.0653549775,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1577,0.0425666925,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,158,0.0207481225,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1581,0.0263015925,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1582,0.0173799175,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1585,0.07137261,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1595,0.01352127,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,160,0.0632934325,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1604,0.033583035,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1607,0.023406255,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1629,0.23949575,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,163,0.0358306975,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1632,0.06940406,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1633,0.0225175025,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1636,0.0256000875,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1644,0.00881269,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1657,0.0079255375,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1659,0.0030902375,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1661,0.030543625,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1662,0.0074063375,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1665,0.002228065,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1670,0.0110403025,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1672,0.0036675425,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1678,0.084724735,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1679,0.008010385,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,168,0.101700985,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1684,0.012505135,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1686,0.0161717625,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1687,0.0068862,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1695,0.0077908375,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1698,0.004347975,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1700,0.0628391675,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1701,0.0106105575,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1717,8.19275e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,172,0.049764415,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1720,0.0210541075,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1721,0.128334565,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1723,0.041558105,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1727,0.010084555,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1729,0.0215656175,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,1782,0.266321605,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,189,0.0180932025,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,191,0.0682655725,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,20,0.1122685675,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,208,0.0072309,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,222,0.0062187925,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,225,0.01224985,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,233,0.00935367,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,239,0.000667905,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,249,0.03902978,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,250,0.003006625,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,252,0.0136837525,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,258,0.0858365375,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,26,0.01014136,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,264,0.0041179675,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,276,0.008073385,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,279,0.0898327725,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,288,0.1124373125,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,293,0.011580345,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,297,0.077974705,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,299,0.070378635,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,310,0.029536955,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,312,0.09009371,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,315,0.0859399775,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,1252,317,0.076765095,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,321,0.1609564225,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,324,0.1887579675,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,33,0.06632493,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,331,0.2711481975,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,334,0.159393855,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,336,0.226193005,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,34,0.0936412175,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,342,0.1676238675,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,345,0.1771405075,5,1,0,path_count_below_K;high_overlap;low_station_diversity
