soc_fraction,initial_range_miles,potential_ev_demand,direct_trip_possible_demand,charging_required_demand,energy_feasible_ev_demand_in_pool,average_number_of_routes,average_direct_only_routes_when_no_charge_needed,average_charging_routes_when_charge_required,target_k_routes,share_feasible_demand_with_full_k,average_distinct_charging_stations,share_feasible_demand_with_at_least_2_station_choices,share_feasible_demand_with_at_least_3_station_choices,direct_trip_pool_charging_route_violation_demand,mean_pairwise_road_jaccard_distance_minhash,pool_refresh_iteration,priority_station_feasible_demand,priority_station_included_demand,priority_station_coverage_rate,priority_station_path_pool_violation_demand
0.1,23.5,4975.4932375925,3963.6129034224996,1011.88033417,4786.916435865,3.6931848678204258,3.435831770730781,4.932154477648376,5.0,0.469220076926019,4.179506047191437,0.9289448140360245,0.8186443261186569,0.0,0.6119777252761669,160.0,502.68079385000004,502.68079385000004,1.0,0.0
0.2,47.0,4975.4932375925,4897.592301532501,77.90093606,4974.6482953675,3.7206436276069765,3.700855840221416,4.978333138060939,5.0,0.43914179682397325,4.964005140587257,0.9930667921025847,0.9928670113427263,0.0,0.5994517000041045,160.0,76.05027468,76.05027468,1.0,0.0
0.3,70.5,4975.4932375925,4974.782691144999,0.7105464475,4975.4932375925,3.752943285050109,3.7527651683817744,4.999999999999999,5.0,0.44265757654224,4.999999999999999,1.0,1.0,0.0,0.601901424914626,160.0,0.7105464475,0.7105464475,1.0,0.0
0.4,94.0,4975.4932375925,4975.4932375925,0.0,4975.4932375925,3.7553386237559185,3.7553386237559185,,5.0,0.44332862864663725,0.0,0.0,0.0,0.0,0.6022699212580761,160.0,0.0,0.0,,0.0
