station,operational,ports,installed_ports,mean_service_min,entries_3hr,arrivals_veh_per_hour,offered_load_erlangs,intensity_utilization,queue_stable,average_wait_hours,average_wait_min,total_wait_vehicle_hours,total_wait_vehicle_min,average_service_min,average_sojourn_min,physical_average_sojourn_min,queue_wait_disutility_multiplier,utilization_crowding_penalty_min,behavioral_queue_penalty_min,perceived_station_choice_cost_min,compact_lambda_intensity_wait_hr
C1,True,30,30,109.6,26.332593472181955,8.777531157393986,16.03362358083968,0.5344541193613227,True,0.00016313773726104087,0.009788264235662453,0.0042958397152666195,0.25775038291599717,109.6,109.60978826423566,109.60978826423566,2.0,0.0,0.009788264235652377,109.61957652847131,8.777531|0.534454|0.000163
C2,True,20,20,120.0,12.480446224752006,4.160148741584002,8.320297483168003,0.41601487415840016,True,7.41959773351986e-05,0.004451758640111916,0.0009259989052248648,0.05555993431349189,120.0,120.00445175864012,120.00445175864012,2.0,0.0,0.004451758640101389,120.00890351728022,4.160149|0.416015|0.000074
C3,True,74,74,103.13513513513513,71.7405511565212,23.913517052173734,41.10539687887161,0.5554783362009676,True,1.3407717639383109e-07,8.044630583629864e-06,9.618770532003557e-06,0.0005771262319202135,103.13513513513513,103.13514317976572,103.13514317976572,2.0,0.0,8.04463057590965e-06,103.1351512243963,23.913517|0.555478|0.000000
C4,True,150,150,76.84,147.0202727569311,49.0067575856437,62.76132088134769,0.41840880587565127,True,1.1018734998088715e-22,6.611240998853229e-21,1.6199774248553455e-20,9.719864549132073e-19,76.84,76.84,76.84,2.0,0.0,0.0,76.84,49.006758|0.418409|0.000000
C5,True,65,65,44.4,115.25021848255894,38.41673949418631,28.42838722569787,0.4373598034722749,True,6.12532800658522e-11,3.675196803951132e-09,7.059453910362838e-09,4.235672346217703e-07,44.4,44.400000003675196,44.400000003675196,2.0,0.0,3.675197035590827e-09,44.40000000735039,38.416739|0.437360|0.000000
C6,True,632,632,112.96518987341773,400.11680497055437,133.3722683235181,251.10706025024402,0.39732129786431014,True,1.5550599235635962e-92,9.330359541381577e-91,6.222056081540206e-90,3.733233648924124e-88,112.96518987341773,112.96518987341773,112.96518987341773,2.0,0.0,0.0,112.96518987341773,133.372268|0.397321|0.000000
C7,True,64,64,93.1875,53.00367031172118,17.66789010390706,27.440441817630653,0.42875690340047895,True,8.086591872663453e-11,4.8519551235980715e-09,4.286190495640976e-09,2.571714297384586e-07,93.1875,93.18750000485196,93.18750000485196,2.0,0.0,4.851955281992559e-09,93.18750000970391,17.667890|0.428757|0.000000
C8,True,50,50,113.76,31.535970812241803,10.511990270747267,19.93073355333682,0.3986146710667364,True,7.208490965914654e-10,4.325094579548792e-08,2.2732676070139323e-08,1.3639605642083594e-06,113.76,113.76000004325095,113.76000004325095,2.0,0.0,4.325093527768331e-08,113.76000008650189,10.511990|0.398615|0.000000
C9,True,29,29,50.06896551724138,43.589544537536746,14.529848179178915,12.124907790901025,0.4181002686517595,True,1.3921246897721716e-06,8.35274813863303e-05,6.06820811666286e-05,0.003640924869997716,50.06896551724138,50.06904904472277,50.06904904472277,2.0,0.0,8.352748138662491e-05,50.069132572204154,14.529848|0.418100|0.000001
