soc_fraction,origin,destination,demand,retained_paths,distinct_charging_stations,refinement_round,selection_reason
0.1,1260,1271,1.4792234625,5,0,0,path_count_below_K;high_demand
0.1,1260,1431,1.1756512575,5,0,0,path_count_below_K
0.1,128,134,1.5315004675,5,0,0,path_count_below_K;high_demand
0.1,1311,1328,1.30219404,5,0,0,path_count_below_K;high_demand
0.1,1321,1338,1.7043178675,5,0,0,path_count_below_K;high_demand
0.1,1328,1338,1.04625546,5,0,0,path_count_below_K
0.1,134,377,1.4161046025,5,0,0,path_count_below_K;high_demand
0.1,1431,1255,1.3049047,5,0,0,path_count_below_K;high_demand
0.1,1431,1430,3.4879156175,5,0,0,path_count_below_K;high_demand
0.1,1431,1435,1.800386345,2,0,0,path_count_below_K;high_demand
0.1,1431,1457,2.3758414125,5,0,0,path_count_below_K;high_demand
0.1,1432,1431,1.2287675975,5,0,0,path_count_below_K
0.1,1432,1435,1.0606275425,3,0,0,path_count_below_K
0.1,1435,1431,1.2816758175,2,0,0,path_count_below_K
0.1,1500,107,0.000247515,5,1,0,path_count_below_K;low_station_diversity
0.1,160,407,0.9785561925,5,0,0,path_count_below_K
0.1,1721,1723,1.4158934375,5,0,0,path_count_below_K;high_demand
0.1,278,550,1.046657255,5,0,0,path_count_below_K
0.1,310,312,1.84389456,5,0,0,path_count_below_K;high_demand
0.1,310,317,1.492142015,5,0,0,path_count_below_K;high_demand
0.1,310,324,2.1022286975,5,0,0,path_count_below_K;high_demand
0.1,310,41,1.495792905,5,0,0,path_count_below_K;high_overlap;high_demand
0.1,321,324,1.05802233,5,0,0,path_count_below_K
0.1,321,334,1.0810954975,5,0,0,path_count_below_K
0.1,324,336,1.7027427725,5,0,0,path_count_below_K;high_demand
0.1,324,342,1.0978911375,5,0,0,path_count_below_K
0.1,324,41,1.3502323075,5,0,0,path_count_below_K;high_demand
0.1,336,324,1.32326125,5,0,0,path_count_below_K;high_demand
0.1,336,334,1.3584444025,5,0,0,path_count_below_K;high_demand
0.1,336,342,1.806687015,5,0,0,path_count_below_K;high_demand
0.1,361,363,1.1441375075,5,0,0,path_count_below_K
0.1,361,379,1.688774495,5,0,0,path_count_below_K;high_demand
0.1,41,324,1.56475915,5,0,0,path_count_below_K;high_demand
0.1,41,39,1.436061015,5,0,0,path_count_below_K;high_demand
0.1,41,46,1.5292643525,5,0,0,path_count_below_K;high_demand
0.1,46,41,1.6430196275,5,0,0,path_count_below_K;high_overlap;high_demand
0.1,46,49,1.7456947475,5,0,0,path_count_below_K;high_demand
0.1,503,1709,1.4642952125,5,0,0,path_count_below_K;high_demand
0.1,504,4,0.0591954375,5,1,0,path_count_below_K;low_station_diversity
0.1,52,104,1.89268139,5,0,0,path_count_below_K;high_demand
0.1,52,342,2.520712795,5,0,0,path_count_below_K;high_demand
0.1,52,345,1.3343297775,5,0,0,path_count_below_K;high_demand
0.1,52,49,3.0649544525,5,0,0,path_count_below_K;high_demand
0.1,528,1142,3.2939786475,5,0,0,path_count_below_K;high_overlap;high_demand
0.1,528,1151,2.8084736475,5,0,0,path_count_below_K;high_demand
0.1,528,1521,0.1284668225,5,1,0,path_count_below_K;low_station_diversity
0.1,528,1528,0.1960024075,5,1,0,path_count_below_K;low_station_diversity
0.1,528,409,0.129074665,5,1,0,path_count_below_K;low_station_diversity
0.1,528,410,0.2497952425,5,1,0,path_count_below_K;low_station_diversity
0.1,528,539,1.3323985675,5,0,0,path_count_below_K;high_demand
0.1,528,550,2.9422736475,5,0,0,path_count_below_K;high_demand
0.1,528,570,1.4570721725,5,0,0,path_count_below_K;high_demand
0.1,528,681,0.1388550825,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,528,707,0.1418038525,5,1,0,path_count_below_K;low_station_diversity
0.1,528,717,2.7414577475,5,0,0,path_count_below_K;high_demand
0.1,528,726,2.01963872,5,0,0,path_count_below_K;high_demand
0.1,539,1521,0.014941135,5,1,0,path_count_below_K;low_station_diversity
0.1,539,1528,0.08481664,5,1,0,path_count_below_K;low_station_diversity
0.1,539,409,0.0649747325,5,1,0,path_count_below_K;low_station_diversity
0.1,539,410,0.0580136075,5,1,0,path_count_below_K;low_station_diversity
0.1,539,550,1.481537005,5,0,0,path_count_below_K;high_demand
0.1,539,560,1.39404085,5,0,0,path_count_below_K;high_demand
0.1,539,667,0.10260596,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,539,681,0.038639725,5,1,0,path_count_below_K;low_station_diversity
0.1,539,693,0.0314245275,5,1,0,path_count_below_K;low_station_diversity
0.1,539,707,0.041362575,5,1,0,path_count_below_K;low_station_diversity
0.1,550,409,0.047977075,5,1,0,path_count_below_K;low_station_diversity
0.1,550,410,0.050840195,5,1,0,path_count_below_K;low_station_diversity
0.1,550,681,0.0175742,5,1,0,path_count_below_K;low_station_diversity
0.1,560,1521,0.034431975,5,1,0,path_count_below_K;low_station_diversity
