soc_fraction,initial_range_miles,potential_ev_demand,direct_trip_possible_demand,charging_required_demand,energy_feasible_ev_demand_in_pool,average_number_of_routes,average_direct_only_routes_when_no_charge_needed,average_charging_routes_when_charge_required,target_k_routes,share_feasible_demand_with_full_k,average_distinct_charging_stations,share_feasible_demand_with_at_least_2_station_choices,share_feasible_demand_with_at_least_3_station_choices,direct_trip_pool_charging_route_violation_demand,mean_pairwise_road_jaccard_distance_minhash,pool_refresh_iteration,priority_station_feasible_demand,priority_station_included_demand,priority_station_coverage_rate,priority_station_path_pool_violation_demand
0.1,23.5,4975.4932375925,3963.6129034224996,1011.88033417,4772.9407422525,4.017778235122704,3.8304930933915466,4.934990974842703,5.0,0.6037630065306496,1.728549321159399,0.4668235239920618,0.26172579716733724,0.0,0.5908823209941378,1.0,0.0,0.0,,0.0
0.2,47.0,4975.4932375925,4897.592301532501,77.90093606,4974.0986558375,4.09758453284855,4.08351294320773,4.998384338580463,5.0,0.6257234408755322,2.895339917543598,0.9560957410268276,0.9392441765167704,0.0,0.6026017888287684,1.0,0.0,0.0,,0.0
0.3,70.5,4975.4932375925,4974.782691144999,0.7105464475,4975.4932375925,4.124836194051496,4.124711194715464,4.999999999999999,5.0,0.6334902952873127,3.0000000000000004,1.0,1.0,0.0,0.6057513484887391,1.0,0.0,0.0,,0.0
0.4,94.0,4975.4932375925,4975.4932375925,0.0,4975.4932375925,4.127482407651591,4.127482407651591,,5.0,0.6343161644923904,0.0,0.0,0.0,0.0,0.6062315946102342,1.0,0.0,0.0,,0.0
