soc_fraction,initial_range_miles,potential_ev_demand,direct_trip_possible_demand,charging_required_demand,energy_feasible_ev_demand_in_pool,average_number_of_routes,average_direct_only_routes_when_no_charge_needed,average_charging_routes_when_charge_required,target_k_routes,share_feasible_demand_with_full_k,average_distinct_charging_stations,share_feasible_demand_with_at_least_2_station_choices,share_feasible_demand_with_at_least_3_station_choices,direct_trip_pool_charging_route_violation_demand,mean_pairwise_road_jaccard_distance_minhash,pool_refresh_iteration,priority_station_feasible_demand,priority_station_included_demand,priority_station_coverage_rate,priority_station_path_pool_violation_demand
0.1,23.5,4975.4932375925,3963.6129034224996,1011.88033417,4786.916435865,4.025549661021584,3.833874502080808,4.948327352730664,5.0,0.6056852537213933,2.30739610144959,0.5922674258342933,0.4578457107783953,0.0,0.5974148279055512,1.0,0.0,0.0,,0.0
0.2,47.0,4975.4932375925,4897.592301532501,77.90093606,4974.6482953675,4.097047396962126,4.083182720699315,4.978270626311232,5.0,0.6241827134707244,3.8699251689107745,0.988104689500693,0.9492759209508156,0.0,0.600876461320433,1.0,0.0,0.0,,0.0
0.3,70.5,4975.4932375925,4974.782691144999,0.7105464475,4975.4932375925,4.125214495047019,4.125089549743583,4.999999999999999,5.0,0.6321744508463969,4.0,1.0,1.0,0.0,0.6037629925172402,1.0,0.0,0.0,,0.0
0.4,94.0,4975.4932375925,4975.4932375925,0.0,4975.4932375925,4.127872477166776,4.127872477166776,,5.0,0.6330405575822962,0.0,0.0,0.0,0.0,0.6042118553302345,1.0,0.0,0.0,,0.0
