soc_fraction,initial_range_miles,potential_ev_demand,direct_trip_possible_demand,charging_required_demand,energy_feasible_ev_demand_in_pool,average_number_of_routes,average_direct_only_routes_when_no_charge_needed,average_charging_routes_when_charge_required,target_k_routes,share_feasible_demand_with_full_k,average_distinct_charging_stations,share_feasible_demand_with_at_least_2_station_choices,share_feasible_demand_with_at_least_3_station_choices,direct_trip_pool_charging_route_violation_demand,mean_pairwise_road_jaccard_distance_minhash,pool_refresh_iteration,priority_station_feasible_demand,priority_station_included_demand,priority_station_coverage_rate,priority_station_path_pool_violation_demand
0.1,23.5,4975.4932375925,3963.6129034224996,1011.88033417,4786.916435865,3.9744935250858546,3.7626509005123405,4.9943630229895515,5.0,0.5845708597275412,3.580663284395526,0.8733292742767583,0.7636979000590074,0.0,0.5983921755122826,430.0,0.0,0.0,,0.0
0.2,47.0,4975.4932375925,4897.592301532501,77.90093606,4974.6482953675,4.0374477085527785,4.022307292197599,4.9997555433190515,5.0,0.5992615113964094,4.917052642930201,0.9930667921025847,0.9911350680394478,0.0,0.5822495714753206,430.0,0.0,0.0,,0.0
0.3,70.5,4975.4932375925,4974.782691144999,0.7105464475,4975.4932375925,4.057243200947513,4.057108547328248,4.999999999999999,5.0,0.6049767938512929,4.999999999999999,1.0,1.0,0.0,0.5826166203283186,430.0,0.0,0.0,,0.0
0.4,94.0,4975.4932375925,4975.4932375925,0.0,4975.4932375925,4.058735545564002,4.058735545564002,,5.0,0.6054082317113189,0.0,0.0,0.0,0.0,0.5828768259120626,430.0,0.0,0.0,,0.0
