rank_within_available_evaluations,mode,source,repair_cost_usd,budget_remaining_usd,repaired_station_count,repaired_stations,repaired_road_component_count,served_total,served_ev,served_non_ev,finite_system_time_min,physical_in_vehicle_time_min,physical_wait_vehicle_min,physical_service_vehicle_min,charging_entries_period,average_wait_min_per_charging_session,average_service_min_per_charging_session,average_station_delay_min_per_charging_session,unstable_station_entries,potential_total,potential_ev,ev_completion_target,ev_target_shortfall,ev_target_rate,ev_target_feasible,completion_shortfall,completion_rate,completion_feasible,queue_feasible,hard_feasible,feasibility_violation,max_station_utilization,station_utilization_violation,unstable_station_count,nonfinite_wait_station_count
1,focus_ce8ddf31de,BIHMH gen 20 focus / mip_intensify,24999815.92,184.07999999821186,2,C5;C7,2514,234751.13536076748,10096.415360767478,224654.72,6221803.259045363,6198198.026303694,0.019799686146586108,23605.21294198338,326.8601719475,6.057540148931426e-05,72.21807662077235,72.21813719617384,0.0,234799.10684649,10144.386846489999,10047.55428100877,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5824067345684757,0.0,0,0
2,focus_38cd21ff8c,BIHMH gen 43 focus / mip_intensify,24999375.44,624.5599999986589,2,C5;C7,2684,234083.66561206992,10215.835612069963,223867.82999999996,6231050.371233004,6206296.902200168,0.04140036494733548,24753.427632471532,343.3186949125001,0.00012058872866765085,72.10043612329446,72.10055671202312,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5979887170838005,0.0,0,0
3,focus_30ae01f335,BIHMH gen 16 focus / station_prune_fix,24999375.44,624.5599999986589,2,C5;C7,2446,233421.02101293247,10027.801012932463,223393.22,6231380.89429541,6207239.149031499,0.03555207281376684,24141.70971183712,335.50214654000007,0.00010596675216660101,71.95694561363659,71.95705158038876,0.0,233471.01193258,10077.79193258,9981.595044391,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5934886727153963,0.0,0,0
4,focus_38cd21ff8c,BIHMH gen 44 focus / station_prune_fix,24999815.92,184.07999999821186,2,C5;C7,2686,234083.66561206992,10215.835612069963,223867.82999999996,6233287.952998989,6208536.808126625,0.041556271388173416,24751.103316092795,343.31869491249995,0.00012104284445903731,72.0936659811112,72.09378702395566,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5979900645299847,0.0,0,0
5,focus_30ae01f335,BIHMH gen 14 focus / mip_intensify,24999375.44,624.5599999986589,2,C5;C7,2455,233421.02101293247,10027.801012932463,223393.22,6234105.488759892,6209676.969183634,0.05166102790472743,24428.467915230078,335.5021465399998,0.00015398121424110834,72.81165908223966,72.8118130634539,0.0,233471.01193258,10077.79193258,9981.595044391,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.6337758853507705,0.0,0,0
6,focus_38cd21ff8c,BIHMH gen 47 focus / mip_intensify,24999815.92,184.07999999821186,2,C5;C7,2719,234083.66561206992,10215.835612069963,223867.82999999996,6234193.811489542,6209441.35257201,0.04150467458612069,24752.417412857183,343.31869491249995,0.00012089255610358998,72.09749361061074,72.09761450316684,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5979892027835761,0.0,0,0
7,focus_30ae01f335,BIHMH gen 19 focus / station_prune_fix,24999815.92,184.07999999821186,2,C5;C7,2445,233421.02101293247,10027.801012932463,223393.22,6234858.612182657,6210738.325628598,0.035591187180573663,24120.250962871665,335.5021465400002,0.00010608333671668568,71.89298551923254,71.89309160256926,0.0,233471.01193258,10077.79193258,9981.595044391,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.593488699315122,0.0,0,0
8,focus_38cd21ff8c,BIHMH gen 49 focus / station_prune_fix,24999991.52,8.480000000447035,2,C4;C5,2460,234081.10097455743,10213.270974557461,223867.82999999996,6245828.4913827935,6221531.413544018,2.3835177100955135e-05,24297.077814940018,340.7540574,6.994832954542285e-08,71.30385475181143,71.30385482175976,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4969808405477648,0.0,0,0
9,focus_ce8ddf31de,BIHMH gen 29 focus / station_prune_fix,24999991.52,8.480000000447035,2,C4;C5,2353,234748.337733,10093.61773299998,224654.72,6253179.83607577,6230005.670982396,1.017997554292277e-05,23174.165083193602,324.0625441800005,3.141361359327076e-08,71.51139648623358,71.5113965176472,0.0,234799.10684649,10144.386846489999,10047.55428100877,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.48831631716262736,0.0,0,0
10,focus_38cd21ff8c,BIHMH gen 45 focus / station_prune_fix,24999884.48,115.51999999955297,2,C4;C7,2445,234083.66561206992,10215.835612069963,223867.82999999996,6255182.613200931,6226932.907688438,0.03535253486471262,28249.67015995847,326.7386913615002,0.00010819818956059585,86.45951920246672,86.45962740065629,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.6264460874559409,0.0,0,0
11,focus_38cd21ff8c,BIHMH gen 40 focus / station_prune_fix,24999444.0,556.0,2,C4;C7,2439,234083.66561206992,10215.835612069963,223867.82999999996,6256346.160462729,6228098.573569797,0.03479747911041781,28247.55209545213,326.73869136150023,0.00010649941384480312,86.45303676080204,86.45314326021588,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.6261359741529104,0.0,0,0
