rank_within_available_evaluations,mode,source,repair_cost_usd,budget_remaining_usd,repaired_station_count,repaired_stations,repaired_road_component_count,served_total,served_ev,served_non_ev,finite_system_time_min,physical_in_vehicle_time_min,physical_wait_vehicle_min,physical_service_vehicle_min,charging_entries_period,average_wait_min_per_charging_session,average_service_min_per_charging_session,average_station_delay_min_per_charging_session,unstable_station_entries,potential_total,potential_ev,ev_completion_target,ev_target_shortfall,ev_target_rate,ev_target_feasible,completion_shortfall,completion_rate,completion_feasible,queue_feasible,hard_feasible,feasibility_violation,max_station_utilization,station_utilization_violation,unstable_station_count,nonfinite_wait_station_count
12,focus_ce8ddf31de,BIHMH gen 28 focus / station_prune_fix,24999771.28,228.7199999988079,2,C4;C5,2324,234748.337733,10093.61773299998,224654.72,6256451.297811389,6233284.524391636,1.0038708587990175e-05,23166.773409713696,324.0625441799999,3.097768862301529e-08,71.48858708226939,71.48858711324708,0.0,234799.10684649,10144.386846489999,10047.55428100877,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4883140674417289,0.0,0,0
13,focus_38cd21ff8c,BIHMH gen 44 focus / mip_intensify,24999794.4,205.60000000149012,3,C4;C5;C7,2354,234083.66561206992,10215.835612069963,223867.82999999996,6257345.567076118,6231969.777265718,4.3559928144658925e-06,25375.78980604377,343.3186949124998,1.2687898675532616e-08,73.91321877333593,73.91321878602382,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791885893371988,0.0,0,0
14,focus_38cd21ff8c,BIHMH gen 43 focus / mip_intensify,24999794.4,205.60000000149012,3,C4;C5;C7,2354,234083.66561206992,10215.835612069963,223867.82999999996,6257916.247625894,6232540.609367102,4.373743951366698e-06,25375.638254418132,343.3186949125,1.2739603220504533e-08,73.91277734201309,73.91277735475269,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791886419147677,0.0,0,0
15,focus_38cd21ff8c,BIHMH gen 49 focus / crossover_fix,24999794.4,205.60000000149012,3,C4;C5;C7,2329,234083.66561206992,10215.835612069963,223867.82999999996,6262301.368407462,6237530.948659734,4.7425631963374325e-06,24770.419742985356,343.31869491249984,1.3813879834146956e-08,72.14992981753728,72.14992983135116,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791885750259177,0.0,0,0
16,focus_6d38f9af67,BIHMH gen 93 focus / mip_intensify,24999815.92,184.07999999821186,2,C5;C7,2738,235497.77210259507,10364.982102595037,225132.79000000004,6262674.4109334415,6237065.256620663,1.1032472479006048,25608.051065530584,348.61999862000005,0.003164612621960215,73.45548496041292,73.45864957303488,0.0,235546.06646823004,10413.27646823,10313.877234866488,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7030180588881505,0.0,0,0
17,focus_38cd21ff8c,BIHMH gen 48 focus / station_prune_fix,24999991.52,8.480000000447035,2,C4;C5,2472,234081.10097455743,10213.270974557461,223867.82999999996,6263762.24260761,6239464.104572497,2.385488721304435e-05,24298.138011258317,340.75405739999985,7.000617217902086e-08,71.306966075933,71.30696614593917,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.49698154140154305,0.0,0,0
18,focus_38cd21ff8c,BIHMH gen 49 focus / add_fix,24999353.92,646.0799999982119,3,C4;C5;C7,2325,234083.66561206992,10215.835612069963,223867.82999999996,6264081.99456446,6238715.964335053,4.559777832141987e-06,25366.030224846552,343.31869491250006,1.3281472578427793e-08,73.88479159665764,73.88479160993911,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.47918891187526347,0.0,0,0
19,focus_38cd21ff8c,BIHMH gen 40 focus / swap_fix,24999794.4,205.60000000149012,3,C4;C5;C7,2300,234083.66561206992,10215.835612069963,223867.82999999996,6264558.549660418,6239194.042128345,4.5492076287387785e-06,25364.507527523383,343.3186949125,1.3250684265528311e-08,73.88035636680931,73.88035638006,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.47919153857809577,0.0,0,0
20,focus_38cd21ff8c,BIHMH gen 49 focus / crossover_fix,24999353.92,646.0799999982119,3,C4;C5;C7,2326,234083.66561206992,10215.835612069963,223867.82999999996,6264716.789640822,6239945.487454054,4.740144334290774e-06,24771.30218202763,343.3186949124997,1.3806834304490399e-08,72.15250013792868,72.15250015173552,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791881327074032,0.0,0,0
21,focus_38cd21ff8c,BIHMH gen 42 focus / add_fix,24999794.4,205.60000000149012,3,C4;C5;C7,2301,234083.66561206992,10215.835612069963,223867.82999999996,6264737.773267213,6239980.9367046915,4.653665940853487e-06,24756.836557867573,343.31869491249995,1.3554944749045913e-08,72.11036545556377,72.1103654691187,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.47918892183449835,0.0,0,0
22,focus_38cd21ff8c,BIHMH gen 40 focus / swap_fix,24999794.4,205.60000000149012,3,C4;C5;C7,2300,234083.66561206992,10215.835612069963,223867.82999999996,6265191.096469513,6239652.438007559,4.573728348961323e-06,25538.658457380614,343.31869491250023,1.3322106884179447e-08,74.3876137123541,74.3876137256762,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.47918942241823553,0.0,0,0
23,focus_6b4c33ee94,BIHMH gen 38 focus / station_prune_fix,24999991.52,8.480000000447035,2,C4;C5,2428,234767.10606999497,9940.106069994987,224827.0,6265669.342329146,6241405.783437227,4.131066934827639e-05,24263.558850608977,340.8222086699999,1.2120885405174793e-07,71.19124937689168,71.19124949810053,0.0,234819.73415359,9992.73415359,9897.349178735773,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.48237353000100214,0.0,0,0
24,focus_38cd21ff8c,BIHMH gen 43 focus / mip_intensify,24999702.0,298.0,4,C1;C4;C5;C7,2303,234083.66561206992,10215.835612069963,223867.82999999996,6266030.940220201,6239914.022568818,0.0001012318477559304,26116.917550151094,343.3186949125001,2.9486261382221217e-07,76.07193531015659,76.0719356050192,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4196592732617265,0.0,0,0
25,focus_38cd21ff8c,BIHMH gen 42 focus / add_fix,24999794.4,205.60000000149012,3,C4;C5;C7,2299,234083.66561206992,10215.835612069963,223867.82999999996,6266082.197349685,6240708.361490438,4.414887490234786e-06,25373.835854832603,343.31869491250023,1.2859443880153348e-08,73.90752741064536,73.9075274235048,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791908434324453,0.0,0,0
26,focus_38cd21ff8c,BIHMH gen 47 focus / swap_fix,24999794.4,205.60000000149012,3,C4;C5;C7,2296,234083.66561206992,10215.835612069963,223867.82999999996,6266637.3894281695,6241271.603994362,4.626168363888541e-06,25365.785429181276,343.31869491249995,1.3474851304172619e-08,73.88407856917357,73.88407858264841,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.47918957161021575,0.0,0,0
27,focus_6b4c33ee94,BIHMH gen 39 focus / station_prune_fix,24999771.28,228.7199999988079,2,C4;C5,2423,234767.10606999497,9940.106069994987,224827.0,6266857.926880635,6242606.1343123,4.0029729993690664e-05,24251.79252830567,340.8222086699998,1.1745047410466537e-07,71.15672603303679,71.15672615048726,0.0,234819.73415359,9992.73415359,9897.349178735773,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.48237395915790116,0.0,0,0
28,focus_38cd21ff8c,BIHMH gen 44 focus / mip_intensify,24999794.4,205.60000000149012,3,C4;C5;C7,2312,234083.66561206992,10215.835612069963,223867.82999999996,6266874.348921209,6242114.113109646,4.653645672393193e-06,24760.235806908015,343.3186949124998,1.3554885712178442e-08,72.1202666030714,72.12026661662628,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791889111589094,0.0,0,0
29,focus_30ae01f335,BIHMH gen 14 focus / mip_intensify,24999884.48,115.51999999955297,2,C4;C7,2184,233421.02101293247,10027.801012932463,223393.22,6267250.376692209,6239684.66731108,0.012978291454559598,27565.696402838497,319.1592854035002,4.0663994588632034e-05,86.36971463320674,86.36975529720132,0.0,233471.01193258,10077.79193258,9981.595044391,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.6074462334674582,0.0,0,0
30,focus_38cd21ff8c,BIHMH gen 47 focus / crossover_fix,24999794.4,205.60000000149012,3,C4;C5;C7,2297,234083.66561206992,10215.835612069963,223867.82999999996,6267473.340752148,6242690.007157313,4.785671894474334e-06,24783.33359004976,343.31869491249995,1.3939444502706256e-08,72.18754456807595,72.18754458201539,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791897188066128,0.0,0,0
31,focus_38cd21ff8c,BIHMH gen 42 focus / add_fix,24999353.92,646.0799999982119,3,C4;C5;C7,2301,234083.66561206992,10215.835612069963,223867.82999999996,6267567.919158345,6242192.777018386,4.476405699337323e-06,25375.14213548241,343.3186949125001,1.3038630769810545e-08,73.91133227379197,73.9113322868306,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791919847449397,0.0,0,0
32,focus_30ae01f335,BIHMH gen 17 focus / station_prune_fix,24999884.48,115.51999999955297,2,C4;C7,2207,233421.02101293247,10027.801012932463,223393.22,6267809.693798596,6240246.2139923,0.012728115545503968,27563.46707818042,319.1592854035002,3.988013549225844e-05,86.36272964245124,86.36276952258673,0.0,233471.01193258,10077.79193258,9981.595044391,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.6070899950851647,0.0,0,0
33,focus_38cd21ff8c,BIHMH gen 49 focus / add_fix,24999794.4,205.60000000149012,3,C4;C5;C7,2297,234083.66561206992,10215.835612069963,223867.82999999996,6267902.663309926,6242533.399873431,4.6239697116070465e-06,25369.26343187117,343.3186949125,1.3468447189529064e-08,73.89420910602294,73.89420911949139,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791895729962912,0.0,0,0
34,focus_38cd21ff8c,BIHMH gen 47 focus / add_fix,24999574.16,425.839999999851,3,C4;C5;C7,2294,234083.66561206992,10215.835612069963,223867.82999999996,6267915.9426547205,6242546.382233994,4.627804504818242e-06,25369.56041609875,343.31869491249995,1.3479616966380782e-08,73.89507414550953,73.89507415898915,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791895750236904,0.0,0,0
35,focus_38cd21ff8c,BIHMH gen 40 focus / mip_intensify,24999574.16,425.839999999851,3,C4;C5;C7,2300,234083.66561206992,10215.835612069963,223867.82999999996,6267922.789637427,6242560.940277554,4.548969692527466e-06,25361.84935532394,343.3186949125,1.3249991217888208e-08,73.87261378757073,73.87261380082072,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.47919105625192926,0.0,0,0
36,focus_38cd21ff8c,BIHMH gen 48 focus / swap_fix,24999574.16,425.839999999851,3,C4;C5;C7,2296,234083.66561206992,10215.835612069963,223867.82999999996,6268098.8019578485,6242729.518120408,4.619311810982707e-06,25369.283832820696,343.3186949125002,1.345487991022454e-08,73.89426852879781,73.89426854225269,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.47918957271356916,0.0,0,0
37,focus_38cd21ff8c,BIHMH gen 41 focus / swap_fix,24999794.4,205.60000000149012,3,C4;C5;C7,2297,234083.66561206992,10215.835612069963,223867.82999999996,6268196.365812672,6242835.780672593,4.579670322494751e-06,25360.58513549958,343.3186949124999,1.3339414341132665e-08,73.86893143690622,73.86893145024564,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791918361980265,0.0,0,0
38,focus_38cd21ff8c,BIHMH gen 49 focus / swap_fix,24999353.92,646.0799999982119,3,C4;C5;C7,2296,234083.66561206992,10215.835612069963,223867.82999999996,6268379.793679489,6243010.3294392675,4.627844002638891e-06,25369.464235593165,343.3186949124999,1.3479732013482018e-08,73.89479399617014,73.89479400964987,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.47918957498611603,0.0,0,0
39,focus_38cd21ff8c,BIHMH gen 47 focus / crossover_fix,24999794.4,205.60000000149012,3,C4;C5;C7,2291,234083.66561206992,10215.835612069963,223867.82999999996,6268412.603787832,6243650.331207409,4.8009125484220725e-06,24762.272575622854,343.3186949125002,1.3983836649634404e-08,72.12619919207687,72.1261992060607,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791895501709973,0.0,0,0
40,focus_38cd21ff8c,BIHMH gen 49 focus / mip_intensify,24999794.4,205.60000000149012,3,C4;C5;C7,2296,234083.66561206992,10215.835612069963,223867.82999999996,6268425.972554638,6243056.560889262,4.623640502537165e-06,25369.41166075184,343.3186949125003,1.3467488287276539e-08,73.89464085903508,73.89464087250256,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791895540173875,0.0,0,0
41,focus_38cd21ff8c,BIHMH gen 48 focus / swap_fix,24999794.4,205.60000000149012,3,C4;C5;C7,2297,234083.66561206992,10215.835612069963,223867.82999999996,6268494.836389633,6243125.092334204,4.624512030765525e-06,25369.744050803278,343.3186949125,1.3470026827243276e-08,73.8956090266775,73.89560904014753,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.47918955038676514,0.0,0,0
42,focus_30ae01f335,BIHMH gen 11 focus / station_prune_fix,24999991.52,8.480000000447035,2,C4;C5,2177,233418.26015964497,10025.040159644963,223393.22,6268501.2950203745,6244790.639465511,1.807911000525429e-05,23710.65553678465,332.7412932525003,5.4333833437183216e-08,71.25853032852116,71.258530382855,0.0,233471.01193258,10077.79193258,9981.595044391,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.48930365373598245,0.0,0,0
43,focus_38cd21ff8c,BIHMH gen 48 focus / add_fix,24999353.92,646.0799999982119,3,C4;C5;C7,2295,234083.66561206992,10215.835612069963,223867.82999999996,6268542.575045417,6243173.4374631345,4.62397539719281e-06,25369.137577658657,343.3186949124999,1.3468463750193684e-08,73.89384252472583,73.89384253819429,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791895551724442,0.0,0,0
44,focus_38cd21ff8c,BIHMH gen 47 focus / swap_fix,24999794.4,205.60000000149012,3,C4;C5;C7,2296,234083.66561206992,10215.835612069963,223867.82999999996,6268761.973934345,6243392.772060565,4.6192693918676036e-06,25369.201869161,343.3186949125002,1.3454756354135893e-08,73.89402978951296,73.89402980296771,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791895551152043,0.0,0,0
45,focus_38cd21ff8c,BIHMH gen 46 focus / swap_fix,24999794.4,205.60000000149012,3,C4;C5;C7,2294,234083.66561206992,10215.835612069963,223867.82999999996,6268847.9513776805,6243481.81962442,4.628346934945072e-06,25366.13174863154,343.31869491249995,1.3481196927317569e-08,73.88508730961036,73.88508732309155,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.47918898945260313,0.0,0,0
46,focus_38cd21ff8c,BIHMH gen 45 focus / add_fix,24999794.4,205.60000000149012,3,C4;C5;C7,2274,234083.66561206992,10215.835612069963,223867.82999999996,6268922.541078835,6244150.929459214,4.80653068005135e-06,24771.611614814152,343.3186949125,1.4000200837523185e-08,72.15340143689983,72.15340145090003,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.479188424490913,0.0,0,0
47,focus_38cd21ff8c,BIHMH gen 46 focus / mip_intensify,24999794.4,205.60000000149012,3,C4;C5;C7,2290,234083.66561206992,10215.835612069963,223867.82999999996,6268935.796364667,6244173.307695751,4.800869615099428e-06,24762.48866411464,343.31869491250006,1.3983711595790033e-08,72.12682860286922,72.12682861685293,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791895502095645,0.0,0,0
48,focus_38cd21ff8c,BIHMH gen 48 focus / add_fix,24999353.92,646.0799999982119,3,C4;C5;C7,2293,234083.66561206992,10215.835612069963,223867.82999999996,6268967.131506769,6243597.898125819,4.623967249428892e-06,25369.23337632607,343.3186949125001,1.3468440017830601e-08,73.89412156186775,73.89412157533619,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.47918955521000717,0.0,0,0
49,focus_38cd21ff8c,BIHMH gen 48 focus / add_fix,24999794.4,205.60000000149012,3,C4;C5;C7,2297,234083.66561206992,10215.835612069963,223867.82999999996,6269177.594235915,6243808.638573038,4.627581681599546e-06,25368.95565824895,343.3186949124999,1.3478967939042636e-08,73.89331263977519,73.89331265325416,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791895783096144,0.0,0,0
50,focus_38cd21ff8c,BIHMH gen 45 focus / mip_intensify,24999353.92,646.0799999982119,3,C4;C5;C7,2280,234083.66561206992,10215.835612069963,223867.82999999996,6269295.766808699,6244547.955254622,4.804265238825181e-06,24747.811549271937,343.3186949124996,1.3993602183678425e-08,72.08407790196023,72.08407791595383,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791884005637355,0.0,0,0
51,focus_38cd21ff8c,BIHMH gen 47 focus / add_fix,24999794.4,205.60000000149012,3,C4;C5;C7,2290,234083.66561206992,10215.835612069963,223867.82999999996,6269330.371099187,6243968.01381751,4.61774686549691e-06,25362.357277059757,343.3186949125,1.345032162222862e-08,73.87409323434525,73.87409324779557,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.47918838312748435,0.0,0,0
52,focus_2096f79153,BIHMH gen 57 focus / station_prune_fix,24999815.92,184.07999999821186,2,C5;C7,2731,237417.84383618,10133.173836179983,227284.67,6269370.254948381,6245695.379282927,0.059022170789902184,23674.81664328373,326.4853174224997,0.00018078047507883024,72.51418480374268,72.51436558421776,0.0,237465.61268474002,10180.94268474,10083.761177952152,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.636129533771922,0.0,0,0
53,focus_38cd21ff8c,BIHMH gen 49 focus / mip_intensify,24999574.16,425.839999999851,3,C4;C5;C7,2298,234083.66561206992,10215.835612069963,223867.82999999996,6269503.989347002,6244750.145727001,4.804778823707008e-06,24753.843615196158,343.3186949125002,1.3995098125756236e-08,72.10164777512345,72.10164778911854,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.47918610588436306,0.0,0,0
54,focus_38cd21ff8c,BIHMH gen 48 focus / crossover_fix,24999794.4,205.60000000149012,3,C4;C5;C7,2295,234083.66561206992,10215.835612069963,223867.82999999996,6269510.903279483,6244141.831310755,4.619251322793661e-06,25369.071964109673,343.3186949124999,1.3454703723521228e-08,73.89365140915316,73.89365142260787,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.47918957280662,0.0,0,0
55,focus_6b4c33ee94,BIHMH gen 39 focus / station_prune_fix,24999991.52,8.480000000447035,2,C4;C5,2422,234767.10606999497,9940.106069994987,224827.0,6269588.256347776,6245319.8571010195,4.2473867710173405e-05,24268.3992042828,340.8222086699999,1.2462177237780476e-07,71.20545136711031,71.20545149173209,0.0,234819.73415359,9992.73415359,9897.349178735773,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.48237392368340953,0.0,0,0
56,focus_38cd21ff8c,BIHMH gen 48 focus / crossover_fix,24999794.4,205.60000000149012,3,C4;C5;C7,2288,234083.66561206992,10215.835612069963,223867.82999999996,6269659.187766803,6244898.217236115,4.801926104289342e-06,24760.970525886685,343.3186949124999,1.3986788879974006e-08,72.1224066525052,72.122406666492,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.47918955411018466,0.0,0,0
57,focus_38cd21ff8c,BIHMH gen 46 focus / add_fix,24999353.92,646.0799999982119,3,C4;C5;C7,2272,234083.66561206992,10215.835612069963,223867.82999999996,6270156.315603772,6245381.680663232,4.801392555695429e-06,24774.634935738988,343.3186949125,1.3985234788682675e-08,72.16220760146248,72.16220761544771,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.4791884034817651,0.0,0,0
58,focus_38cd21ff8c,BIHMH gen 41 focus / swap_fix,24999574.16,425.839999999851,3,C4;C5;C7,2301,234083.66561206992,10215.835612069963,223867.82999999996,6270263.990107855,6244723.143107776,4.592731840308626e-06,25540.846995486805,343.3186949125,1.3377459218989382e-08,74.39398836697862,74.39398838035608,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.47919143581656815,0.0,0,0
59,focus_38cd21ff8c,BIHMH gen 46 focus / swap_fix,24999574.16,425.839999999851,3,C4;C5;C7,2286,234083.66561206992,10215.835612069963,223867.82999999996,6270281.734515178,6244918.853010856,4.629044416272469e-06,25362.881499693653,343.31869491249995,1.3483228512948448e-08,73.87562016148807,73.8756201749713,0.0,234134.35732061995,10266.52732062,10168.52887142021,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.47918840842557187,0.0,0,0
