Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Geocode Status,Latitude,Longitude,ID,Open Date,Access Code,Facility Type,Restricted Access,EV Workplace Charging,EV J1772 Connector Count,EV CCS Connector Count,EV CHAdeMO Connector Count,EV J3400 Connector Count,EV J3271 Connector Count,city_clean,state_clean,fuel_clean,status_clean,access_clean,restricted_access,L1,L2,DCFC,unit_row_count,total_ports,unit_rows_equal_reported_ports,site_key,site_id,station_ids,n_station_ids,projected_x_m,projected_y_m,cluster_zero_based,group,distance_to_center_km
ELEC,Greenway Parking Garage - Tesla Destination,60 W Kinzie,Chicago,IL,60654,E,,,24.0,,Tesla Destination,200-8,41.889236,-87.630247,150688,2019-05-30,public,,,False,0,0,0,1,0,chicago,IL,ELEC,E,public,,0,24,0,24,24,True,60 w kinzie|41.88924|-87.63025,150688,150688,1,447713.90660326544,4637670.356585905,0,6,0.5896642168087398
ELEC,University of Illinois - 760 W Taylor St,760 W Taylor St,Chicago,IL,60607,E,24 hours daily,,3.0,,Blink Network,GPS,41.864511,-87.645224,152270,2020-01-08,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,3,0,3,3,True,760 w taylor st|41.86451|-87.64522,152270,152270,1,446450.75299156026,4634934.442478159,0,6,2.4343858202923756
ELEC,University of Illinois - 915 S Paulina St,915 S Paulina St,Chicago,IL,60612,E,24 hours daily,,3.0,,Blink Network,GPS,41.8697336,-87.6683529,152341,2020-01-10,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,3,0,3,3,True,915 s paulina st|41.86973|-87.66835,152341,152341,1,444535.7150118469,4635528.97822133,0,6,3.290637205417847
ELEC,ELEVEN THIRTY 1130 S MICHIGAN,1130 S Michigan Ave,Chicago,IL,60605,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.868618,-87.624626,158552,2020-06-06,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,1130 s michigan ave|41.86862|-87.62463,158552,158552,1,448163.5737641815,4635377.787216071,0,6,1.969740420573051
ELEC,BUCK MANAGEMENT LEVEL 1 NORTH,845 W Madison St,Chicago,IL,60607,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.880735,-87.648861,163424,2020-06-17,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,845 w madison st|41.88074|-87.64886,163424,163424,1,446162.5217286204,4636738.022344513,0,6,1.2963195241275318
ELEC,BUCK MANAGEMENT LEVEL 2 327,845 W Madison,Chicago,IL,60607,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.880655,-87.648861,163425,2020-06-17,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,845 w madison|41.88065|-87.64886,163425,163425,1,446162.45457459695,4636729.140158329,0,6,1.2994698987851063
ELEC,PEOPLES GAS EV2,4341 W 35th Pl Logistics Support,Chicago,IL,60646,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.989409,-87.730374,163454,2020-06-18,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,4341 w 35th pl logistics support|41.98941|-87.73037,163454,163454,1,439501.9583862517,4648858.288585948,1,1,0.35857164593749696
ELEC,PEOPLES GAS EV4,4341 W 35th Pl Logistics Support,Chicago,IL,60646,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.989297,-87.73032,163455,2020-06-18,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,4341 w 35th pl logistics support|41.9893|-87.73032,163455,163455,1,439506.32527263137,4648845.815123821,1,1,0.348018107723975
ELEC,O'Hare Airport - Multi-Modal Facility Economy Lot F,10255 W Zemke Blvd,Chicago,IL,60666,E,24 hours daily,,24.0,,Non-Networked,GPS,41.99426839015599,-87.88105290737916,163819,2020-07-02,public,AIRPORT,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,24,0,24,24,True,10255 w zemke blvd|41.99427|-87.88105,163819,163819,1,427026.43944098556,4649515.2521618055,3,3,1.2694996909091476
ELEC,Chicago Travel Plaza - Tesla Supercharger,Building 840 O'Hare Int'l Airport,Chicago,IL,60666,E,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,14.0,Tesla,GPS,41.998752,-87.888342,164167,2020-07-10,public,TRAVEL_CENTER,,False,0,0,0,1,0,chicago,IL,ELEC,E,public,,0,0,14,14,14,True,building 840 o hare int l airport|41.99875|-87.88834,164167,164167,1,426427.87695452507,4650019.305798714,3,3,1.649066630894821
ELEC,OZINGA CHINA TOWN,2242 S Lumber St,Chicago,IL,60616,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.851961,-87.64313,164585,2020-07-28,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,2242 s lumber st|41.85196|-87.64313,164585,164585,1,446614.10457913834,4633539.751056298,0,6,3.724455850571381
ELEC,Echelon Garage,353 N DesPlaines St,Chicago,IL,60661,E,24 hours daily,,1.0,,Blink Network,GPS,41.888408,-87.643931,164758,2020-08-01,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,1,0,1,1,True,353 n desplaines st|41.88841|-87.64393,164758,164758,1,446577.9694502145,4637586.854578617,0,6,0.8967007858694661
ELEC,UIC 1100 West Harrison,1100 West Harrison,Chicago,IL,60607,E,24 hours daily,,3.0,,Blink Network,GPS,41.8748871,-87.6551001,165808,2020-09-01,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,3,0,3,3,True,1100 west harrison|41.87489|-87.6551,165808,165808,1,445639.89107438165,4636092.678588354,0,6,2.0539255855315193
ELEC,UIC 1100 Wood Street,1100 South Wood Street,Chicago,IL,60612,E,24 hours daily,,3.0,,Blink Network,GPS,41.867904,-87.67315,167702,2020-10-23,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,3,0,3,3,True,1100 south wood street|41.8679|-87.67315,167702,167702,1,444136.02538538515,4635328.953637352,0,6,3.7367971832225413
ELEC,LEFT BANK CS STATION 1,300 N Canal St,Chicago,IL,60606,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.887215,-87.640641,167749,2020-10-24,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,300 n canal st|41.88721|-87.64064,167749,167749,1,446849.92796427733,4637452.355817642,0,6,0.5933087230815149
ELEC,Parking Garage - 70 West Madison - Tesla Destination,11 N Clark St,Chicago,IL,60602,E,,,4.0,,Tesla Destination,200-8,41.882312,-87.630943,169013,2018-06-14,public,,,False,0,0,0,1,0,chicago,IL,ELEC,E,public,,0,4,0,4,4,True,11 n clark st|41.88231|-87.63094,169013,169013,1,447650.51307147404,4636902.027329755,0,6,0.3916569060373265
ELEC,Sofitel Chicago - Tesla Destination,20 E Chestnut St,Chicago,IL,60611,E,,,5.0,,Tesla Destination,200-9,41.898653,-87.627307,169113,2018-05-09,public,,,False,0,0,0,1,0,chicago,IL,ELEC,E,public,,0,5,0,5,5,True,20 e chestnut st|41.89865|-87.62731,169113,169113,1,447965.4580699553,4638714.115553005,0,6,1.6378189236083665
ELEC,"Virgin Hotels, Chicago - LAZ Parking - Tesla Destination",203 N Wabash Ave,Chicago,IL,60601,E,,,1.0,,Tesla Destination,200-9,41.88605,-87.626025,169248,2015-03-24,public,,,False,0,0,0,1,0,chicago,IL,ELEC,E,public,,0,1,0,1,1,True,203 n wabash ave|41.88605|-87.62602,169248,169248,1,448061.59001280373,4637314.059254291,0,6,0.6942978629329798
ELEC,PEOPLES GAS PETC 2,4228 W 35th Pl PETC,Chicago,IL,60632,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.831297,-87.73148,170734,2021-01-01,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,4228 w 35th pl petc|41.8313|-87.73148,170734,170734,1,439260.63424476667,4631304.194446949,4,7,2.273707726260959
ELEC,PEOPLES GAS PETC 3,4228 W 35th Pl PETC,Chicago,IL,60632,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.831252,-87.731403,170735,2021-01-01,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,4228 w 35th pl petc|41.83125|-87.7314,170735,170735,1,439266.98553742334,4631299.143808784,4,7,2.2678905043740074
ELEC,NICHE 905 EV STATION 02,905 N Orleans St,Chicago,IL,60610,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.899418,-87.636886,170750,2021-01-05,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,905 n orleans st|41.89942|-87.63689,170750,170750,1,447171.51574013673,4638804.905916853,0,6,1.6334702472957234
ELEC,"CFP II, LLC 204",240 E Illinois St,Chicago,IL,60611,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.891099,-87.621074,171561,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,240 e illinois st|41.8911|-87.62107,171561,171561,1,448476.4108260436,4637871.651915391,0,6,1.2942968917154196
ELEC,540 W. MADISON LL1 - 3,540 West Madison St,Chicago,IL,60661,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.883025,-87.642101,171567,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,540 west madison st|41.88303|-87.6421,171567,171567,1,446725.3192716153,4636988.0563627845,0,6,0.6830508690785528
ELEC,900 SELF PARK PLUG AND SHOP 3,911 N. Rush St,Chicago,IL,60611,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.900864,-87.627081,171693,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,911 n rush st|41.90086|-87.62708,171693,171693,1,447985.9989820388,4638959.460617979,0,6,1.8755263098656403
ELEC,900 SELF PARK PLUG AND SHOP 1,911 N. Rush St,Chicago,IL,60611,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.89982,-87.626379,171694,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,911 n rush st|41.89982|-87.62638,171694,171694,1,448043.3811675331,4638843.122362528,0,6,1.7863643058175203
ELEC,900 SELF PARK PLUG AND SHOP 4,911 N. Rush St,Chicago,IL,60611,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.899639,-87.626307,171695,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,911 n rush st|41.89964|-87.62631,171695,171695,1,448049.2067099942,4638822.982757505,0,6,1.769879533105897
ELEC,IRVINE  CO  OFC 71SW B2 02-03,71 S Wacker Dr,Chicago,IL,60606,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.880925,-87.636038,172397,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,71 s wacker dr|41.88092|-87.63604,172397,172397,1,447226.63653461746,4636751.152928251,0,6,0.45971080268013276
ELEC,OPTIMA LEVEL 3,220 E Illinois St,Chicago,IL,60611,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.891113,-87.621403,172817,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,220 e illinois st|41.89111|-87.6214,172817,172817,1,448449.12850092276,4637873.403908423,0,6,1.2722040985778227
ELEC,OPTIMA LEVEL 5,220 E Illinois St,Chicago,IL,60611,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.891147,-87.621408,172818,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,220 e illinois st|41.89115|-87.62141,172818,172818,1,448448.74104334693,4637877.181846112,0,6,1.2739279255062441
ELEC,OPTIMA LEVEL 4,220 E Illinois St,Chicago,IL,60611,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.891121,-87.621419,172819,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,220 e illinois st|41.89112|-87.62142,172819,172819,1,448447.80758643436,4637874.301740931,0,6,1.2715803307115408
ELEC,MOMENT MOMENT 2,545 N McClurg Ct,Chicago,IL,60611,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.892053,-87.617242,172820,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,545 n mcclurg ct|41.89205|-87.61724,172820,172820,1,448795.0724747393,4637975.2781926915,0,6,1.6214122272369145
ELEC,UNITED ORD LOT UNITED 6,5600 Bessie Coleman Dr,Chicago,IL,60666,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.981234,-87.888678,173545,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,5600 bessie coleman dr|41.98123|-87.88868,173545,173545,1,426379.8652663985,4648074.5694969995,3,3,0.31180537388208757
ELEC,UNITED ORD LOT UNITED 5,5600 Bessie Coleman Dr,Chicago,IL,60666,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.98182,-87.887601,173546,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,5600 bessie coleman dr|41.98182|-87.8876,173546,173546,1,426469.7614485765,4648138.70786969,3,3,0.2323569922959145
ELEC,UNITED ORD LOT UNITED 4,5600 Bessie Coleman Dr,Chicago,IL,60666,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.981879,-87.887686,173547,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,5600 bessie coleman dr|41.98188|-87.88769,173547,173547,1,426462.7877493555,4648145.331611471,3,3,0.22605769491213856
ELEC,UNITED ORD LOT UNITED 3,5600 Bessie Coleman Dr,Chicago,IL,60666,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.981857,-87.887857,173548,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,5600 bessie coleman dr|41.98186|-87.88786,173548,173548,1,426448.59641593933,4648143.035784569,3,3,0.22965024365897208
ELEC,UNITED ORD LOT UNITED 1,5600 Bessie Coleman Dr,Chicago,IL,60666,E,24 hours daily,,2.0,,ChargePoint Network,GPS,41.98117,-87.888711,173549,2021-01-27,public,,False,False,1,0,0,0,0,chicago,IL,ELEC,E,public,False,0,2,0,2,2,True,5600 bessie coleman dr|41.98117|-87.88871,173549,173549,1,426377.0577165805,4648067.491947373,3,3,0.3194052041595719
