warmstart_index,source,station_set,road_count,cost_usd,screen_served_total,screen_served_ev,screen_system_time_min,screen_hard_feasible,screen_ev_completion_target,screen_ev_target_shortfall,screen_max_station_utilization,screen_unstable_station_count,screen_charging_entries_period,screen_average_wait_min_per_charging_session,screen_average_station_delay_min_per_charging_session,surrogate_priority,initial_station_marginal_gate
1,user-specified station warm start rank 1: repairs=C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C4;C5;C7,3410,44999788.8,1078515.3612064177,19712.551206417524,30647488.844778534,True,19712.0,0.0,0.8491473856351173,0,864.4502991489585,0.6736960167044813,74.93542846968937,999900000476.3604,
2,user-specified station warm start rank 2: repairs=C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C5;C6;C7,2149,44999845.92,1078515.3612064177,19712.551206417524,31142104.00442239,True,19712.0,0.0,0.7879439861633267,0,874.3593436597896,0.026814436108144393,91.91197729163677,999800000476.3604,
3,user-specified station warm start rank 3: repairs=C2+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C2;C4;C5;C7,3371,44999947.44,1078515.3612064177,19712.551206417524,30667914.518876478,True,19712.0,0.0,0.9629372468488281,0,888.6573202258323,5.709512326498561,80.96497941732869,999700000476.3604,material_charging_improvement:wait_drop=0.240526;delay_drop=-1.026817;total_wait_drop_pct=0.182219;min_new_entries=24.473729
4,user-specified station warm start rank 4: repairs=C1+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C1;C4;C5;C7,3346,44999916.64,1078515.3612064177,19712.551206417524,30670702.271973453,True,19712.0,0.0,0.8994741092913446,0,897.8095351266668,2.0637998606639125,78.18760871014794,999600000476.3604,material_charging_improvement:wait_drop=0.354077;delay_drop=-1.074087;total_wait_drop_pct=0.312575;min_new_entries=39.641991
5,user-specified station warm start rank 5: repairs=C2+C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C2;C5;C6;C7,2076,44999784.32,1078515.3612064177,19712.551206417524,31162239.946353287,True,19712.0,0.0,0.8503298610344248,0,870.1161903712496,0.46189022650747014,92.01080092484945,999500000476.3604,material_charging_improvement:wait_drop=-0.016965;delay_drop=1.235373;total_wait_drop_pct=-1.889582;min_new_entries=18.569042
6,user-specified station warm start rank 6: repairs=C1+C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C1;C5;C6;C7,2039,44999533.28,1078515.3612064177,19712.551206417524,31173161.878958892,True,19712.0,0.0,0.7106102512810668,0,889.8413454456249,0.0355478663539789,91.10997103645198,999400000476.3604,material_charging_improvement:wait_drop=0.004439;delay_drop=1.005014;total_wait_drop_pct=0.493462;min_new_entries=29.676820
7,user-specified station warm start rank 7: repairs=C1+C4+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C1;C4;C6;C7,1639,44999822.08,1078515.3612064177,19712.551206417524,81043679.90077545,False,19712.0,0.0,1.009192784714097,1,880.0471856681244,56501.70698774622,56601.033134775316,999300000476.3604,material_charging_improvement:wait_drop=18.635033;delay_drop=18.372899;total_wait_drop_pct=0.803154;min_new_entries=46.187260
8,user-specified station warm start rank 8: repairs=C4+C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C4;C5;C6;C7,1375,44999824.4,1078515.3612064177,19712.551206417524,31396669.11138474,True,19712.0,0.0,0.7356876553777841,0,882.229092086458,0.01164446166683242,86.90254824663754,999200000476.3604,extra station retained because least-used-station removal failed the EV/queue feasibility screen
