soc_fraction,origin,destination,demand,retained_paths,distinct_charging_stations,refinement_round,selection_reason
0.1,1500,163,0.01109165,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,168,0.017033105,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,271,2.659e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,276,5.8675e-06,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,278,1.0175e-06,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,279,5.21025e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,288,0.0001518825,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,289,4.633e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,293,1.2715e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,297,8.2975e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,299,9.156e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,310,5.166e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,312,0.0003570725,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,315,0.0001536875,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,317,0.0002718125,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,321,0.00031767,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,324,0.00063819,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,33,0.000126045,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,331,0.0003018975,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,334,0.00060246,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,336,0.000957205,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,34,0.000388115,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,342,0.0016265925,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,345,0.0006952175,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,349,0.0002680925,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,352,0.0007754825,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,355,6.041e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,361,0.0002087825,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,363,0.0007157675,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,365,0.000802485,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,377,0.0019659975,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,39,0.0005239525,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,41,0.0009397,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,46,0.0007933525,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,49,0.0010681625,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,52,0.0019030825,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,528,4.2695e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,531,3.45e-06,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,539,2.527e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,550,3.00425e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,560,7.9075e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,570,4.949e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,578,6.4725e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,580,8.247e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,584,0.0002009575,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,588,0.00010003,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,589,3.39225e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,59,0.000676695,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,592,8.9775e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,598,6.95475e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,601,0.00014298,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,609,5.579e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,610,0.0002390475,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,613,2.36175e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,614,0.00011089,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,622,8.37125e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,627,0.000178355,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,634,0.000119635,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,64,0.0003622675,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,71,0.000271015,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,717,1.5485e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,726,6.86825e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,73,0.00031031,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,735,5.805e-06,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,75,5.78075e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,751,2.47325e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,754,4.64525e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,77,3.0175e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,82,4.9175e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,83,9.95e-06,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,85,0.0006903225,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,94,0.0007274,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,104,0.0002525675,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,107,0.0001308625,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,1134,1.33375e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,1142,3.7225e-06,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,1151,1.32125e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,1189,1.38275e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,1190,1.4855e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,128,0.0014566,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,130,0.000567915,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,131,0.000545475,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,134,0.001860645,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,144,0.00261051,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,145,0.00186207,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,151,0.0020859625,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,1513,156,0.0034172375,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,1513,160,0.0024048275,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,163,0.004058245,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,1513,1657,0.00198795,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,1659,0.002471835,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,1513,1661,0.00607945,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,1665,0.0036524025,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,1672,0.0045815075,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,1679,0.0060118725,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,168,0.00728125,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,271,8.67e-06,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,276,1.595e-06,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,278,3.9e-07,5,1,0,path_count_below_K;low_station_diversity
0.1,1513,279,1.8875e-05,5,1,0,path_count_below_K;low_station_diversity
