soc_fraction,origin,destination,demand,retained_paths,distinct_charging_stations,refinement_round,selection_reason
0.1,528,550,2.9422736475,5,0,0,path_count_below_K;high_demand
0.1,528,570,1.4570721725,5,0,0,path_count_below_K;high_demand
0.1,528,717,2.7414577475,5,0,0,path_count_below_K;high_demand
0.1,528,726,2.01963872,5,0,0,path_count_below_K;high_demand
0.1,539,550,1.481537005,5,0,0,path_count_below_K;high_demand
0.1,539,560,1.39404085,5,0,0,path_count_below_K;high_demand
0.1,560,754,1.6901995625,5,0,0,path_count_below_K;high_demand
0.1,578,560,1.91124302,5,0,0,path_count_below_K;high_demand
0.1,578,584,2.869912425,5,0,0,path_count_below_K;high_demand
0.1,707,706,2.1533770225,5,0,0,path_count_below_K;high_demand
0.1,726,1190,1.8089429425,5,0,0,path_count_below_K;high_demand
0.1,726,1224,1.21329518,5,0,0,path_count_below_K
0.1,726,560,1.286077355,5,0,0,path_count_below_K
0.1,726,754,1.7046849875,5,0,0,path_count_below_K;high_demand
0.1,726,777,1.6116245725,5,0,0,path_count_below_K;high_demand
0.1,726,784,1.4902747425,5,0,0,path_count_below_K;high_demand
0.1,75,104,1.56766154,5,0,0,path_count_below_K;high_demand
0.1,751,726,1.14609824,5,0,0,path_count_below_K
0.1,751,754,1.591986945,5,0,0,path_count_below_K;high_demand
0.1,770,584,1.605665385,5,0,0,path_count_below_K;high_demand
0.1,777,726,1.36146414,5,0,0,path_count_below_K;high_demand
0.1,784,1252,1.4140075975,5,0,0,path_count_below_K;high_demand
0.1,784,726,1.359982825,5,0,0,path_count_below_K;high_demand
0.1,784,777,1.333082345,5,0,0,path_count_below_K;high_demand
0.1,797,1528,0.013644845,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,797,172,0.0367002575,5,1,0,path_count_below_K;low_station_diversity
0.1,797,379,0.031270065,5,1,0,path_count_below_K;low_station_diversity
0.1,797,424,0.00140748,5,1,0,path_count_below_K;low_station_diversity
0.1,797,428,0.004690855,5,1,0,path_count_below_K;low_station_diversity
0.1,797,643,0.01508661,5,1,0,path_count_below_K;low_station_diversity
