station,operational,ports,installed_ports,mean_service_min,entries_3hr,arrivals_veh_per_hour,offered_load_erlangs,intensity_utilization,queue_stable,average_wait_hours,average_wait_min,total_wait_vehicle_hours,total_wait_vehicle_min,average_service_min,average_sojourn_min,physical_average_sojourn_min,queue_wait_disutility_multiplier,utilization_crowding_penalty_min,behavioral_queue_penalty_min,perceived_station_choice_cost_min,compact_lambda_intensity_wait_hr
C1,False,0,30,109.6,0.0,0.0,0.0,inf,False,inf,inf,0.0,0.0,109.6,inf,inf,2.0,inf,inf,inf,--
C2,False,0,20,120.0,0.0,0.0,0.0,inf,False,inf,inf,0.0,0.0,120.0,inf,inf,2.0,inf,inf,inf,--
C3,True,74,74,103.13513513513513,120.56095955023542,40.186986516745144,69.07817141797273,0.9334888029455773,True,0.1583295451706582,9.499772710239492,19.088361890926894,1145.3017134556137,103.13513513513513,112.63490784537463,112.63490784537463,2.0,6.276296822417947,15.776069532657417,128.41097737803204,40.186987|0.933489|0.158330
C4,True,150,150,76.84,301.92550182896963,100.64183394298988,128.88864200298903,0.8592576133532602,True,0.0026969713011279314,0.16181827806767587,0.8142844135113799,48.85706481068279,76.84,77.00181827806767,77.00181827806767,2.0,0.3288850492672351,0.49070332733491284,77.49252160540259,100.641834|0.859258|0.002697
C5,True,65,65,44.4,255.07300175722452,85.02433391907483,62.918007100115375,0.967969340001775,True,0.2550474892664902,15.30284935598941,65.05572867784716,3903.3437206708295,44.4,59.70284935598941,59.70284935598941,2.0,18.415065441722483,33.71791479771189,93.4207641537013,85.024334|0.967969|0.255047
C6,False,0,632,112.96518987341773,0.0,0.0,0.0,inf,False,inf,inf,0.0,0.0,112.96518987341773,inf,inf,2.0,inf,inf,inf,--
C7,True,64,64,93.1875,107.33665399268128,35.77888466422709,55.569080244127704,0.8682668788144954,True,0.03567191768880844,2.1403150613285065,3.8289042862190383,229.7342571731423,93.1875,95.32781506132851,95.32781506132851,2.0,0.693329006786845,2.8336440681153476,98.16145912944386,35.778885|0.868267|0.035672
C8,True,50,50,113.76,14.99051939296565,4.996839797655217,9.474008256354292,0.18948016512708585,True,9.78238154719681e-22,5.869428928318086e-20,1.466429802926431e-20,8.798578817558587e-19,113.76,113.76,113.76,2.0,0.0,0.0,113.76,4.996840|0.189480|0.000000
C9,True,29,29,50.06896551724138,99.30499334264385,33.101664447547954,27.622768263126222,0.9525092504526284,True,0.43760657521821916,26.25639451309315,43.45651803874243,2607.391082324546,50.06896551724138,76.32536003033454,76.32536003033454,2.0,10.79254922586305,37.0489437389562,113.37430376929073,33.101664|0.952509|0.437607
